Trained ANN Loaded...
@C4Running with Test Data File...
Data No : Calculated Outputs : Desired Outputs 
00000001 0.0400 0.0994 
00000002 0.0395 0.1175 
00000003 0.1159 0.1291 
00000004 0.1441 0.1109 
00000005 0.1539 0.1192 
00000006 0.0718 0.1241 
00000007 0.1254 0.1406 
00000008 0.1891 0.1274 
00000009 0.1442 0.0911 
00000010 0.1232 0.1109 
00000011 0.1209 0.1027 
00000012 0.0505 0.1225 
00000013 0.1795 0.0977 
00000014 0.0418 0.0895 
00000015 0.0733 0.0961 
00000016 0.1221 0.0598 
00000017 0.0703 0.0664 
00000018 0.0940 0.0466 
00000019 0.0182 0.0466 
00000020 0.0638 0.0581 
00000021 0.0001 0.0367 
00000022 0.0669 0.0169 
00000023 -0.0133 0.0054 
00000024 0.0229 -0.0078 
00000025 -0.0171 0.0598 
00000026 0.1143 0.0763 
00000027 0.0765 0.0515 
00000028 -0.0061 0.0235 
00000029 -0.0005 -0.0128 
00000030 -0.0469 0.0037 
00000031 0.0070 0.0416 
00000032 0.1146 0.0779 
00000033 0.0828 0.0845 
00000034 0.0582 0.0730 
00000035 0.0539 0.0532 
00000036 0.0124 0.0416 
00000037 0.0644 0.0713 
00000038 0.0927 0.0796 
00000039 0.0096 0.0944 
00000040 0.1254 0.1027 
00000041 0.0726 0.1060 
00000042 0.1387 0.1406 
00000043 0.1852 0.1390 
00000044 0.1689 0.1489 
00000045 0.1679 0.1423 
00000046 0.1833 0.1307 
00000047 0.1152 0.1439 
00000048 0.1390 0.1390 
00000049 0.1826 0.1208 
00000050 0.1004 0.0961 
00000051 0.1252 0.1241 
00000052 0.0821 0.0614 
00000053 0.0596 0.0285 
00000054 0.0430 0.0202 
00000055 0.0652 0.0548 
00000056 0.0225 0.0449 
00000057 0.0700 0.0895 
00000058 0.0640 0.0845 
00000059 0.0975 0.0779 
00000060 0.0749 0.0713 
00000061 0.0692 0.0515 
00000062 0.1037 0.0631 
00000063 0.0476 0.0779 
00000064 0.0890 0.0977 
00000065 0.1530 0.0911 
00000066 0.1922 0.0829 
00000067 0.1061 0.0944 
00000068 0.1051 0.0746 
00000069 0.1085 0.0664 
00000070 0.1025 0.0730 
00000071 0.0520 0.0845 
00000072 0.1352 0.0944 
00000073 0.1347 0.0994 
00000074 0.0313 0.0565 
00000075 0.0636 0.0367 
00000076 0.0632 0.0186 
00000077 -0.0098 0.0070 
00000078 -0.0041 0.0202 
00000079 0.0175 0.0318 
00000080 0.1239 0.0614 
00000081 0.0474 0.0796 
00000082 0.1216 0.1076 
00000083 0.1437 0.1043 
00000084 0.0986 0.1225 
00000085 0.0418 0.1439 
00000086 0.1501 0.1538 
00000087 0.1601 0.1390 
00000088 0.1571 0.1588 
00000089 0.1133 0.1472 
00000090 0.1074 0.1604 
00000091 0.1701 0.1753 
00000092 0.2349 0.1852 
00000093 0.1665 0.1687 
00000094 0.1893 0.1951 
00000095 0.2187 0.1918 
00000096 0.2200 0.1934 
00000097 0.1959 0.1852 
00000098 0.1983 0.1637 
00000099 0.1630 0.1522 
00000100 0.1775 0.1390 
00000101 0.1083 0.1274 
00000102 0.0961 0.1307 
00000103 0.1073 0.1357 
00000104 0.1306 0.1192 
00000105 0.1094 0.0911 
00000106 0.1044 0.1505 
00000107 0.1964 0.1604 
00000108 0.1667 0.1489 
00000109 0.0746 0.1703 
00000110 0.2457 0.1555 
00000111 0.1893 0.1225 
00000112 0.1481 0.1720 
00000113 0.2146 0.2016 
00000114 0.1292 0.2412 
00000115 0.2419 0.2561 
00000116 0.2941 0.3765 
00000117 0.3097 0.3649 
00000118 0.2725 0.3666 
00000119 0.3981 0.3567 
00000120 0.3949 0.3880 
00000121 0.4614 0.3963 
00000122 0.3595 0.3649 
00000123 0.3771 0.3765 
00000124 0.3204 0.3666 
00000125 0.3606 0.3897 
00000126 0.3514 0.3930 
00000127 0.3948 0.3930 
00000128 0.4009 0.3963 
00000129 0.3642 0.4111 
00000130 0.4465 0.4029 
00000131 0.4861 0.4375 
00000132 0.4277 0.4359 
00000133 0.4083 0.4507 
00000134 0.3786 0.4326 
00000135 0.4333 0.4144 
00000136 0.3335 0.4111 
00000137 0.3797 0.4260 
00000138 0.4261 0.4260 
00000139 0.3557 0.4276 
00000140 0.4136 0.4458 
00000141 0.4301 0.4342 
00000142 0.4121 0.4392 
00000143 0.4681 0.4161 
00000144 0.4422 0.3485 
00000145 0.3055 0.3369 
00000146 0.3258 0.3419 
00000147 0.3665 0.3831 
00000148 0.2912 0.4029 
00000149 0.3565 0.3765 
00000150 0.3580 0.3732 
00000151 0.3212 0.3369 
00000152 0.3729 0.3353 
00000153 0.2919 0.3732 
00000154 0.3662 0.3551 
00000155 0.3771 0.3880 
00000156 0.3886 0.4408 
00000157 0.4315 0.4557 
00000158 0.4394 0.4854 
00000159 0.4661 0.5101 
00000160 0.5415 0.4722 
00000161 0.6241 0.4557 
00000162 0.6185 0.4722 
00000163 0.4904 0.4408 
00000164 0.5636 0.4573 
00000165 0.6411 0.4606 
00000166 0.5550 0.4689 
00000167 0.6315 0.5662 
00000168 0.4851 0.5662 
00000169 0.6063 0.5134 
00000170 0.5428 0.4012 
00000171 0.3412 0.4144 
00000172 0.5776 0.3633 
00000173 0.4342 0.3419 
00000174 0.3416 0.3633 
00000175 0.3076 0.3682 
00000176 0.3884 0.3649 
00000177 0.3784 0.3551 
